Interview Domain,Interview Turns,Human Follow Up Question,No. Of Relevant Speaker Turns,Type
Apartment finding,"Interviewer: What kind of things do you look for in an apartment when you are searching? 
Interviewee: I think location is the most important to me, like being close to my work or campus. Then there's pricing, and how big it is, like whether it's big enough to fit all my stuff. I think those are the main things.","So, the three things you are looking for are the location, the pricing, and the size of the apartment?",1,Confirmation
Apartment finding,"Interviewer: Okay, and you mentioned that pricing was a challenge. Did you encounter any other challenges in the process? 
Interviewee: When I was looking to rent because of COVID, I had to basically make a decision based on just the videos of the places I was looking at, and I couldn't actually visit in person. But that's not really that bad.",You mentioned that you were looking for an apartment during COVID. What kind of means did you use to search for this apartment?,1,Answer probing
Apartment finding,"Interviewer: Okay, so you would rank them as first for accessibility, second for safety, and third for parking space. What about roommates? Are you going to share your apartment with a roommate or flatmate? 
Interviewee: I moved here by myself, and when starting the Ph.D., I couldn't find anyone I knew. It was hard for me to find a roommate, and I don't think I want one. I basically just didn't want to live with someone I didn't know.","Apart from not knowing the person, what other factors did you consider in deciding not to choose a flatmate?",1,Answer probing
Apartment finding,"Interviewer: Right, and you also mentioned the management companies. So how has your experience been so far with your management company?
Interviewee: The management's been really good. I always ask for help when something goes wrong, and they come in a matter of hours. They always fix it for me, and I've never had a problem with them ignoring me or any impoliteness. It's all been good.",Have you had any incident that required settling?,1,Answer probing
Apartment finding,"Interviewer: What kind of things do you look for in an apartment when you are trying to search? 
Interviewee: I think location is the most important to me, like close-ish to my work or campus, and then there's pricing and how big it is, like is it big enough to accommodate all my stuff. I think those are the main things. 
Interviewer: Three things that you are looking for: location, pricing, and the size of the apartment. 
Interviewee: Well, I guess size also includes the amenities, like does it have a parking spot outside; that's helpful too. I'm not too picky. I think the main thing was the main thing that was hard was like.","Okay, and the last thing that you mentioned that you look for in an apartment when you arrived in <anonymous>. What kind of experience did you have when looking for these four points?",3,Answer probing
Apartment finding,"Interviewer: Yeah, so how do you plan out your utilities around your apartment? What kind of steps do you take to ensure that you're taking care of your apartment from a financial perspective?
Interviewee: I just pay online once a month. It's an automatic thing; it's just like straight out of my bank account. And then for utilities like gas and electric, I set up my own account and it's also automatic, so I don't really have to do anything basically.
Interviewer: Is there anything else in the process that you would like to improve, like paying for utilities or something like that?
Interviewee: Everything is all together. If it's my rent, the management company has its own sort of portal that helps me pay for utilities and Wi-Fi and all of that, and they set it up for me. But again, I feel like those are usually really fancy apartment buildings that would do that, and you have to pay the price for them. In <anonymous>, I just don't care enough, and you know being a grad student is not easy.",Can you describe this portal more?,3,Answer probing
Apartment finding,"Interviewer: Yeah, so how do you plan out your utility payments around your apartment? What kind of steps do you take to ensure you are properly taking care of your apartment from a financial perspective?
Interviewee: I just pay online once a month. It's an automatic thing; it's just taken straight out of my bank account. For utilities like gas and electricity, I set up my own account and it's also automatic, so I don't really have to do anything basically.
Interviewer: Is there anything else in the process that you would like to improve, like paying for utilities or something like that?
Interviewee: Everything is all together, like my rent. The management company has its own portal that helps me pay for utilities, Wi-Fi, and all of that, and they set it up for me. But again, I feel like those are usually really fancy apartment buildings that would do that, and you have to pay the price for them. In <anonymous>, I just don't care enough, and being a grad student is not easy.
Interviewer: Can you describe this portal more?
Interviewee: The portal is like a really simple website, and I basically only use it to pay rent or something.","And when you have to make a maintenance request, do you have to call them, or do you use the portal?",3,Answer probing
Apartment finding,"Interviewer: What kind of things do you look for in an apartment when you are searching?
Interviewee: I think location is most important to me, like being close to my work or campus, and then there's pricing and the apartment's size, like is it big enough to fit all my stuff. I think those are the main things.
Interviewer: So, the three things you are looking for are location, pricing, and the size of the apartment?
Interviewee: Well, I guess size also includes amenities, like if it has a parking spot outside, that's helpful too. I’m not too picky. I think the main thing that was hard was...
Interviewer: Okay. And the last thing you mentioned, when you were looking for an apartment upon arriving in <anonymous>, what kind of experience did you have when looking for these four points?
Interviewee: For pricing, a lot of places that were good ended up being very expensive, but it's just about making some decisions based on the <anonymous> stipend, so it ended up being okay. Like, I'll just pay a little bit more for the location.","Okay, and you mentioned that pricing was a challenge. Did you encounter any other challenges in the process?",5,Alternative-seeking
Apartment finding,"Interviewer: Okay, and you mentioned that pricing was a challenge. Did you encounter any other challenges in the process?
Interviewee: When I was looking to rent because of COVID, I had to basically make a decision based on just the videos of the places I was looking at, and I couldn't actually visit in person. But that's not really that bad.
Interviewer: You mentioned that you looked for an apartment during COVID. What kind of means did you use to search for this apartment?
Interviewee: Just sort of like, you know, my friends would tell me about a management company, and then I would just go to their website directly. I think I also looked at Zillow for renting, and that was helpful. But I didn't really use any crazy apps or technology all that much, it was just Googling.
Interviewer: So if you want to recommend someone to look for an apartment, what kind of resources would you suggest?
Interviewee: Yeah, yeah, Zillow. It's the only one I know of. It's experience or whatever it was good. Like I think <anonymous> is just easy to find a place because it's such a place. There are so many universities around, there are a lot of students, and so there are also a lot of places that are renting to students.","And yeah, to discuss more about the factors that you consider when looking for an apartment, how would you rank the neighborhood of your apartment? I think you can consider different things when looking for a neighborhood, like how safe it is, how close it is to a grocery store. How would you rank these things if you can think of any?",0,Topic change
Apartment finding,"Interviewer: And yeah, to discuss more about the factors that you consider when looking for an apartment, how would you rank the neighborhood of your apartment? I think you can think of different things when looking for a neighborhood, like how safe it is or how close it is to the grocery store. How would you rank these things, if you can think of any?
Interviewee: I would say the top ranking is how accessible it is to campus. So like, is there a direct bus route? Is it bikeable? So that would be location to work, like distance to work, which would be my top priority. Other than that, safety, I would say. But most areas in <anonymous> are pretty safe. There isn't really a big difference to me, safety-wise, between <anonymous locations>. In other cities, I would definitely say safety is really important. For the summer, I'm going to <anonymous> for an internship, so I would put safety as a top priority there because some areas are really not safe. After that, I would consider that some neighborhoods are really busy with a lot of restaurants or stores, but it's almost impossible to find good parking by your apartment.","Okay, so you would rank them as first, accessibility; second, safety; and third, parking space. What about roommates? Are you going to share your apartment with a roommate or a flatmate?",0,Topic change
