Q1,Q2,Interviewee_speech,Domain,Criterion,A1,A2_Q1,A2_Q2,A3_Q1,A3_Q2,A4_Q1,A4_Q2,origin
How does not having a car influence the areas or types of apartments you consider?,What do you do if the place is not within walking distance?,"I don't have the car, so I generally walk.",apartment finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,3,5,3,5,3,0
What other criteria do you look for besides insurance coverage to decide clinics?,How do you determine if a clinic is covered under your insurance?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,3,5,4,5,4,5,1
What is your preference for other kinds of weather conditions besides sunny?,How do you determine if a trail has enough tree cover for a sunny day?,yes depending on the weather if it's like a super sunny day I will go for a trail that has more tree cover,hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,3,5,4,5,4,5,1
"Can you explain what you mean by ""good landlords"" and how they impact your apartment finding process?",What does a good relationship with a landlord/management look like according to you?,"Management is important. Just in general, good landlords, relations.",apartment finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,4,5,5,5,4,5,0
Would you prefer on-route parking or a fixed slot in the apartment complex if you had a car?,How far are you willing to walk to visit potential apartments?,"I don't have the car, so I generally walk.",apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,5,4,5,5,4,1
"Can you elaborate on what you mean by ""horrid stories"" and how they influence your choice of hiking trails?",What kind of stories do you consider as horrid?,I think no I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of stories just scared me unnecessarily a bit,hiking trail finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,1,5,4,5,5,5,5,0
What other factors do you like/dislike about doctors?,What alternatives would you suggest for doctors to effectively communicate honestly and clearly with patients?,yeah I think I would just prefer the doctors if they wouldn't beat around the bush and just be honest to me step by step,clinic finding,A good follow-up question should look for alternatives to existing information.,2,4,5,5,4,5,5,1
What specific precautions do you take to ensure your safety when hiking in light rain or snow?,What are the specific errors in your experience that people make while trekking?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",1,5,4,5,4,5,4,0
What if the duration of the billing cycle changes?,"How did you initially set up the automatic payment for your rent and utilities, and what was your reason for choosing this method?",I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,2,4,4,4,2,5,1
What other methods do you use to get a feel for a neighborhood besides checking it out in person?,How else do you decide on an idea?,"You can like, do some research online, but also by just checking out the area. I think. Okay. So just checking out the area and see if we get a good feel about it.",apartment finding,A good follow-up question should look for alternatives to existing information.,1,5,2,5,1,5,2,0
For what time period do you monitor weather conditions?,Could you explain how you determine the weather conditions for the next few hours before choosing your hiking clothes?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,4,5,3,5,3,4,1
Do you directly eliminate a trail from consideration if there are any safety concerns?,What is the maximum distance you are willing to drive to reach a hiking trail?,I will not drive far even if it's like a pretty Trail,hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,5,3,5,1,3,1
What are some alternative ways you manage landlord relationships when searching for an apartment?,What other aspects do you think are important while looking for apartments?,Landlord relation is pretty important.,apartment finding,A good follow-up question should look for alternatives to existing information.,1,5,1,5,3,5,1,0
What is your preference for other kinds of weather conditions?,How do you decide which trails offer adequate tree cover?,yes depending on the weather if it's like a super sunny day I will go for a trail that has more tree cover,hiking trail finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",2,3,5,3,5,3,5,1
Have you ever used any other apps or resources besides Google Maps and its weather feature when searching for hiking trails?,Do you use any other means to keep track of the weather?,"usually just Google Maps Google weather I mean just the weather on the maps
",hiking trail finding,A good follow-up question should look for alternatives to existing information.,2,5,4,2,5,3,4,0
"Can you explain what you mean by saying having Apple Pay makes it more clean, but you're doubtful that's the common case?",Why do you think using Apple pay is not the common case?,"Just having Apple pay help. Alright, It's more clean, but I am doubtful that's the common case.
",restaurant finding,"A good follow-up question should ask for clarification whenever the interviewee mentioned two conflicting information or described potential features in conflicting terms. For example, if the INTERVIEWEE said he wanted to have an app recommending to him good restaurants based on his age and gender, but he also wanted the app to protect his private information, then this may be a case that needs clarification.",1,5,3,2,4,3,2,0
Could you explain why having a good relationship with the landlord is important to you when finding an apartment?,What if someone wants to buy an apartment / house?,Landlord relation is pretty important.,apartment finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,1,5,4,5,3,0
What other factors do you consider while finding clinics?,"What factors are most important to you when choosing a clinic, aside from proximity?",maybe the approximity to my place but that is the least secondary,clinic finding,A good follow-up question should look for alternatives to existing information.,2,4,5,5,5,5,5,1
What types of cuisines do you consider when looking for diversity in your meals?,What other factors do you consider while finding restaurants?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,4,2,5,5,5,4,0
How do you prepare for hikes in light rain or snow to ensure that it remains enjoyable and safe?,What are the specific errors in your experience that people make while trekking?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should not require technical knowledge in order to answer. For example, in a clinic finding interview, the question should not ask about the diagnosis criteria or data analysis.",1,5,4,5,3,5,4,0
Do you check out the feel of the area in addition to the proximity of the apartment from the bus stop?,What specific aspects do you look for when checking out an area to get a good feel about it?,"You can like, do some research online, but also by just checking out the area. I think. Okay. So just checking out the area and see if we get a good feel about it.",apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,3,4,2,5,3,4,1
What if there are no other restaurants/ pizza places available within reasonable commuting distance?,How do you decide what qualifies as a 'decent amount of time' in order to try a different type of food?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,3,5,2,5,3,5,1
"Could you explain what you mean by ""a decent amount of time"" when deciding what to eat?","What do you mean when you say diversity, do you mean different cuisines or different food items within the same cuisine?",I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,4,5,5,5,5,5,0
"How do you determine which clinic has a ""good rating"" when searching for a doctor?",Why do you consider the Google ratings to be accurate?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,4,3,5,4,5,4,0
How do you identify the way a doctor interacts with their patients before going to a clinic?,"What specific experiences have you had in the past where you felt that the doctors weren't straightforward with you, and how did that impact your decision-making process?",yeah I think I would just prefer the doctors if they wouldn't beat around the bush and just be honest to me step by step,clinic finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,2,5,3,5,3,5,1
What do you mean when you say Apple pay is clean?,"What do you mean by ""just having Apple Pay help"" and why do you doubt it's the common case?","Just having Apple pay help. Alright, It's more clean, but I am doubtful that's the common case.
",restaurant finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,4,5,4,5,3,4,1
What websites or platforms do you use to start your online search?,How significant a role does deposit play when you are deciding apartments?,"I start search, online.",apartment finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",1,5,5,5,4,4,4,0
How do you find out about new restaurants or dining options?,What factors do you consider most important when choosing a restaurant?,I don't have any dietary restrictions like I can eat any meat or I can eat any vegetables I'm not even a veggie,restaurant finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,5,5,5,5,4,5,1
How important is the copay amount associated with insurance to you while deciding which clinic to visit?,What public transport options do you prefer to access the clinic without changing buses?,one important factor for me is the public transport option because I don't drive and I myself don't need any disability accessibility I don't want to change buses to reach the clinic,clinic finding,"A good follow-up question should not be too long or articulated, which would require the interviewee to ask for repeating or rephrase multiple times.",2,2,4,3,5,5,4,1
What if reaching every clinic requires changing buses? What if there is no public transport?,Can you explain why not having to change buses is important for you when choosing a clinic?,one important factor for me is the public transport option because I don't drive and I myself don't need any disability accessibility I don't want to change buses to reach the clinic,clinic finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,5,4,4,4,4,5,1
What factors do you look for while deciding the quality of a restaurant?,How do you typically find information about restaurants if you don't use social media?,I'm not like a social media person I don't see Twitter or Facebook or Instagram much so that's why I don't use those yeah,restaurant finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,2,5,5,4,5,1
How do you access the published information regarding trail lengths for state and city parks?,What other alternatives do you consider besides walking on hiking trails?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,5,4,5,5,4,4,0
Can you describe what qualities or actions you look for in good landlords?,How important is it for you to have a good equation with your landlord?,"Management is important. Just in general, good landlords, relations.",apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,5,4,5,4,4,2,0
What can be the safety concerns associated with driving on trails that are far-off?,What distance do you consider too far to drive when choosing a hiking trail?,I will not drive far even if it's like a pretty Trail,hiking trail finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",2,3,5,2,5,3,5,1
Do you consider references from connections to be more important than Google reviews?,How do you usually gather and evaluate the references shared by your friends and family?,reference is a big factor that's like first hand experience by my friends and family members so that would hold a lot of weight,clinic finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,3,5,3,5,2,5,1
"How do you typically find trails that are closer to you, and what factors influence your decision to choose those over more distant ones?",How will you consider going to the trail in that case?,I will not drive far even if it's like a pretty Trail,hiking trail finding,A good follow-up question should look for alternatives to existing information.,1,4,2,5,3,5,3,0
How do you search for the published information about hiking trails?,How do you decide which specific trail to choose when several options meet your distance preference?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,5,5,5,2,5,1
What if you did not have a car / did not want to drive for any reason?,What aspects of parking do you find most critical when choosing a hiking trail?,"I take a car so parking's very important
",hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,2,5,4,5,3,5,1
How often do you find yourself choosing pizza over other dining options when looking for a restaurant?,What other factors do you consider while finding restaurants?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,"A good follow-up question should avoid asking vague questions that could infer no reasonable meaning, which are questions that do not have enough context or clarity for interviewee to answer.",1,5,3,5,2,4,2,0
How do you manage and track your utility payments?,What do you want them to improve in their online payment method?,I just pay online once a month  it's an automatic thing  it's just like straight out of my bank account   and then utilities like Gas and Electric I set up my own account and like it's also automatic so I don't really have to do anything basically,apartment finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",2,1,4,2,5,2,4,0
What if there are no trails close by? What if someone else drives or you take public transport?,What distance do you consider too far to drive for a hiking trail?,I will not drive far even if it's like a pretty Trail,hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,4,3,3,4,3,3,1
Why do you not like driving to far-off trails?,What factors do you consider when deciding on the maximum distance you are willing to drive for a hiking trail?,I will not drive far even if it's like a pretty Trail,hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,3,3,3,4,4,1
